INDEX,QCODE,SOURCE,LAYER1,LAYER2,LAYER3,TYPE,CODE1,CODE2,TITLE,QUESTION,INPUT,RESULT,ANSWER,풀이회수,정답회수,오답회수,오답율,EXPLAIN,ANALSYS,1ST,2ND,3rd,4th,5th,6th,7th,8th,9th,10th
170,ABANK-0170,인스교재,07특종보험,기술보험,특종보험의특징,진위형,AB01,AB01,기술보험종류,"국내에서 사용하고 있는 기술보험은
① 건설공사보험(CAR),
② 조립보험(EAR),
③ 공사종합보험(CPI),
④ 협회적하보험등이 있다",,X,X,10.0,10.0,0,,4x,,,,,,,,,,,
171,ABANK-0171,인스교재,07특종보험,개요,특종보험의특징,진위형,AB01,AB01,특종보험 특징,"특종보험에 속하는 보험으로는
① 화재보험
② 건설공사보험
③ 해상보험
④ 항공보험 등이 있다",,X,X,10.0,10.0,0,,건설만,,,,,,,,,,,
172,ABANK-0172,인스교재,07특종보험,개요,특종보험의특징,진위형,AB01,AB01,특종보험 특징,손해보험 중에서 해상보험과 화재보험을 재외한 보험종목을 총칭하여 특종보험이라고 한다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
173,ABANK-0173,인스교재,07특종보험,개요,특종보험의특징,진위형,AB01,AB01,특종보험 특징,"특종보험의 특징
① 대수법칙 적용곤란
② 거대/미지위험존재
③ 전문적 기술경험 필요
④ 보험가입금액 개념 없음,",O,O,O,10.0,8.0,2,,,,,,,,,,,,,
174,ABANK-0174,인스교재,07특종보험,개요,특종보험의특징,진위형,AB01,AB01,특종보험 특징,"특종보험의 특징은
① 대수의 법칙 적용이 용이하다
② 거대 위험 또는 미지의 위험이 많다
③ 위험인수 및 손해사정에 전문적인 기술 또는 경험이 필요하다
④ 전문화 또는 종합화 되는 추세다",X,O,X,10.0,8.0,2,,대수곤란,착각 집중력,,,,,,,,,,
175,ABANK-0175,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,건설보험개요,건설공사 및 조립보험은 공사물건이 완성되어 발주자에게 인도된 이후 발생하는 재산손해에 대한 경제적 손해를 담보한다,,X,X,10.0,10.0,0,,공사후,,,,,,,,,,,
176,ABANK-0176,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,독일영국약관,"독일식 영국식 비교 해 보면
① 국문약관은 독일식 약관과 큰 차이 없다
② 진동, 지지대의 약화 또는 철거로 인한 제3자 배상책임은 영국식은 보통약관에서 담보한다
③ 설계결함으로 인한 사고는 독일식 약관에서는 직접손해는 담보하지 않고 특별약관으로 주변손해(설계결함 제외)를 담보함다
④ 설계결함으로 인한 사고는 영국식 약관에서 특별약관으로 주변손해를 담보한다",,X,X,10.0,10.0,0,,4x 설계결함은 어디서도 담보하지 않음,,,,,,,,,,,
177,ABANK-0177,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,독일영국약관,"독일식 영국식 비교 해 보면 진동, 지지대의 약화 또는 철거로 인한 제3자 배상책임은 영국식은 보통약관에서 담보한다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
178,ABANK-0178,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,독일영국약관,독일식 영국식 비교 해 보면 설계결함으로 인한 사고는 영국식 약관에서 특별약관으로 주변손해를 담보한다,,X,X,10.0,10.0,0,,보통약관,,,,,,,,,,,
179,ABANK-0179,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,책임종료시점,건설보험은 목적물이 완성된 시점에 보험이 종료되고(특약으로 시운전을 담보 가능) 조립보험은 시운전이 완료된 시점에 보험이 종료됨,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
180,ABANK-0180,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,중고에 대한 보상,기계 및 설비의 시운전담보 특별약관에서 기계 또는 설비가 중고품일 경우는 시운전이 보상되지 않는다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
181,ABANK-0181,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,설계결함에 대한 보상,"조립보험의 제작자 결함담보 특별약관 : 설계, 주조, 재질, 제작의 결함에 의한 사고로 보험의 목적에 입힌 손해를 보상",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
182,ABANK-0182,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,진동지지대보상,"영국식 건설공사 보험은 진동, 지지대의 약화 또는 철거로 인한 제3자 배상책임을 보통약관으로 담보한다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
183,ABANK-0183,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,잔존물 제거비용,"건설공사보험에서 공사용 기계기구, 공사용 중장비와 잔존물 제거비용은 별도로 보험증권에 기재하여야 보상받을 수 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
184,ABANK-0184,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,손해보상,공사목적물이 공사현장에서 하역이 완료되기 이전에 사고가 발생하였다면 건설공사보험에서 보상하지 않 는다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
185,ABANK-0185,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,건설보험의 목적,"건설공사보험에서 공사용 기계기구, 공사용 중장비와 잔존물 제거비용은 별도로 보험증권에 기재하여야 보상받을 수 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
186,ABANK-0186,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,계약당사자,"건설공사보험에서 발주자(Owner), 도급업자(Contractor) 및 하도급업자(Subcontractor) 중 보험료를 납입하는 자가 보험계약자가 된다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
187,ABANK-0187,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,계약당사자,건설공사보험에서 발주자가 일괄적으로 공사 전체를 보험에 가입하는 경우와 도급업자가 보험에 가입하는 경우의 2가지 형태로 구분된다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
188,ABANK-0188,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,계약당사자,건설공사보험에서 발주자가 가입하는 경우 보험료는 도급업자의 도급금액(Contract Price)에 포함되며 도급업자가 가입할 경우에는 도급금액에서 제외된다,,X,X,10.0,10.0,0,,도급액에미포함,,,,,,,,,,,
189,ABANK-0189,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,계약당사자,"공사와 관련된 발주자, 도급업자 및 하도급업자 모두를 피보험자로 하는 것이 일반적이다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
190,ABANK-0190,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,계약당사자,건설공사보험에서 발주자가 가입하는 경우 보험료는 도급업자의 도급금액(Contract Price)에 제외되며 도급업자가 가입할 경우에는 도급금액에 포함될 수 있다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
191,ABANK-0191,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,건설보험 시기,공사목적물이 공사현장에서 하역이 완료되기 이전에 사고가 발생하였다면 건설공사보험에서 보상하지 않 는다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
192,ABANK-0192,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,보험의 목적,"건설공사보험에서 규정하고 있는 보험의 목적에는
① 일반도로용 차량 선박등 해상 운송용구
② 공사용 가설물
③ 공사용 기계기구
④ 잔존물 제거비용이 있다",,X,X,10.0,10.0,0,,,,,,,,,,,,,
193,ABANK-0193,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,보험의 목적,"건설공사보험에서 규정하고 있는 보험의 목적은 건설 ,구축물, 부대설비등 공사 목적물과 가설물이고 공사용 기계기구, 공사용 중장비, 잔존물제거비용은 증권에 기재되어야만 보험의 목적이 된다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
194,ABANK-0194,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,보험의 목적,"건설공사보험에서 보험증권 기재여부와 상관없이 보험의 목적물이 되는 것은 은
① 건설물 구축물, 부대설비등 공사 목적물과 가설물
② 공사용 기계기구
③ 공사용 중장비
④ 잔존물제거비용이다",,X,X,10.0,10.0,0,,1)자동,,,,,,,,,,,
195,ABANK-0195,인스교재,07특종보험,기술보험,건설보험,진위형,AB02,AB02,보험의 목적,"건설공사보험에서 보험증권 기재 되어야만 보험의 목적물이 되는 것은 은
① 건설물 구축물, 부대설비등 공사 목적물과 가설물
② 공사용 기계기구
③ 공사용 중장비
④ 잔존물제거비용이다",,X,X,10.0,10.0,0,,1)만자동,,,,,,,,,,,
