INDEX,QCODE,SOURCE,LAYER1,LAYER2,LAYER3,TYPE,CODE1,CODE2,TITLE,QUESTION,INPUT,RESULT,ANSWER,풀이회수,정답회수,오답회수,오답율,EXPLAIN,ANALSYS,1ST,2ND,3rd,4th,5th,6th,7th,8th,9th,10th
1,ABANK-0001,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,일반화재보험은 일반물건과 공장물건에 대해서 보장을 제공한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
2,ABANK-0002,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,F.O.C Policy form은 1904년 런던의 Fire Office Commitee에서 전세계 보험시장이 공 통적으로 사용할 수 있도록 만들었다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
3,ABANK-0003,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,F.O.C Policy form은 재산종합보험(Package insurance)이 만들어지기까지 재보험시장 으로부터 담보력을 확보하는 역할을 담당하였다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
4,ABANK-0004,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,Fire Insurance Policy(Korean Form)은 국문화재보험을 영역한 약관으로 국내에 거주하는 외국인이나 국 내에 소재하고 있는 대규모 외국기업을 위한 것이다.,,X,X,10.0,10.0,0,,소규모외국기업,,,,,,,,,,,
5,ABANK-0005,인스교재,06재산보험,화재보험,개요,선택형,AA01,AA01,약관의 종류,"화재보험의 종류에 대한 다음 설명중 틀린것은?
① 일반화재보험은 일반물건과 공장물건에 대해서 보장을 제공한다.
② F.O.C Policy form은 1904년 런던의 Fire Office Commitee에서 전세계 보험시장이 공 통적으로 사용할 수 있도록 만들었다.
③ F.O.C Policy form은 재산종합보험(Package insurance)이 만들어지기까지 재보험시장 으로부터 담보력을 확보하는 역할을 담당하였다.
④ Fire Insurance Policy(Korean Porm)은 주로 국내 대형물건에 사용하고 있다.",4,O,4,10.0,10.0,0,,4)소규모외국기업,,,,,,,,,,,
6,ABANK-0006,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관형태,보통약관 이란 기본적인 담보위험과 면책위험을 비롯하여 보험계약에 보편적 일반적 공통적으로 적용되는 각 종 보험조건들이 기재되어 있다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
7,ABANK-0007,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관형태,추가약관이란 약관 개발 당시에 보통약관에 기재되지 못하였으나 과학기술의 발달 및 사회 변화로 기인된 특정 위험에 대하여 적용되는 약관을 말한다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
8,ABANK-0008,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관형태,추가약관이란 약관을 처음 만들 때에는 기재하지 못했으나 기술의 발달이나 사회의 변화로 기인된 특정 위험 에 대해 모든 보험계약에 공통으로 적용하기 위하여 만들어진 약관,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
9,ABANK-0009,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관형태,추가약관이란 보통약관의 조건을 변경하는 약관을 말한다,,X,X,10.0,10.0,0,,특별약관,,,,,,,,,,,
10,ABANK-0010,인스교재,06재산보험,화재보험,특별약관,진위형,AA01,AA01,전기위험담보특약,전기위험담보 특별약관은 전기적 사고의 결과로 생긴 화재손해를 보상하는 특별약관이다,,X,X,10.0,10.0,0,,목적물의 전기적 손해 그 자체,,,,,,,,,,,
